camera,day,frame_file,frame_path,timestamp,person_id_in_frame,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area,center_x,center_y,confidence
balcony,day1,balcony_day1_18-00-00.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-00.jpg,18:00:00,1,470.63,421.32,499.61,497.89,28.97,76.57,2218.67,485.12,459.6,0.3887
balcony,day1,balcony_day1_18-00-00.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-00.jpg,18:00:00,2,893.65,535.69,933.7,639.48,40.06,103.79,4157.78,913.68,587.59,0.2632
balcony,day1,balcony_day1_18-00-03.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-03.jpg,18:00:03,1,517.52,498.98,567.23,644.34,49.71,145.36,7225.8,542.37,571.66,0.3968
balcony,day1,balcony_day1_18-00-03.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-03.jpg,18:00:03,2,501.43,485.63,567.49,645.6,66.05,159.97,10566.27,534.46,565.61,0.3564
balcony,day1,balcony_day1_18-00-03.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-03.jpg,18:00:03,3,518.38,535.24,564.85,646.31,46.47,111.07,5161.36,541.61,590.78,0.2855
balcony,day1,balcony_day1_18-00-06.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-06.jpg,18:00:06,1,514.78,529.9,549.66,639.46,34.88,109.56,3821.46,532.22,584.68,0.379
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,1,833.27,505.57,885.91,648.13,52.63,142.57,7503.77,859.59,576.85,0.7355
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,2,705.96,573.83,759.79,694.38,53.83,120.54,6488.52,732.88,634.1,0.7053
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,3,1314.84,769.08,1400.95,942.63,86.11,173.56,14944.1,1357.9,855.86,0.6989
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,4,520.0,799.28,631.58,987.18,111.59,187.89,20966.68,575.79,893.23,0.6576
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,5,569.87,746.76,629.63,907.12,59.77,160.37,9584.48,599.75,826.94,0.4415
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,6,934.35,498.18,988.72,642.65,54.38,144.47,7855.84,961.53,570.41,0.4209
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,7,59.23,1002.93,122.25,1079.77,63.02,76.84,4842.74,90.74,1041.35,0.4044
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,8,1387.86,349.6,1419.67,434.43,31.81,84.83,2698.22,1403.76,392.02,0.3882
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,9,1471.59,379.24,1508.28,453.6,36.69,74.36,2728.41,1489.94,416.42,0.3479
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,10,565.75,747.3,632.82,974.19,67.07,226.9,15218.18,599.29,860.75,0.332
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,11,517.16,168.54,568.75,238.85,51.58,70.31,3626.92,542.95,203.69,0.3088
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,12,1029.83,416.96,1065.91,517.03,36.08,100.08,3611.23,1047.87,466.99,0.3088
balcony,day1,balcony_day1_18-00-09.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-09.jpg,18:00:09,13,1638.09,582.82,1690.09,743.81,52.0,160.99,8371.78,1664.09,663.32,0.2713
balcony,day1,balcony_day1_18-00-12.jpg,data/raw_frames/balcony/day1 (04-08)/balcony_day1_18-00-12.jpg,18:00:12,1,877.89,874.83,971.17,1080.0,93.27,205.17,19137.03,924.53,977.42,0.7354
